iter	RMSE
0	0.1592975769
1	0.1524848488
2	0.146056536
3	0.1399684945
4	0.1342696964
5	0.1288693147
6	0.1237981932
7	0.119040833
8	0.1145537795
9	0.1103638649
10	0.106415782
11	0.1027095402
12	0.09925278265
13	0.09599546613
14	0.0929757167
15	0.09015763808
16	0.08753781692
17	0.08507960709
18	0.0827999717
19	0.08068031313
20	0.07874441159
21	0.07695145225
22	0.07526138428
23	0.0737341836
24	0.07229005273
25	0.07097301945
26	0.06974557419
27	0.06863166295
28	0.06758304857
29	0.0666290562
30	0.06576096354
31	0.06495640012
32	0.06421773095
33	0.06354351117
34	0.06291823429
35	0.06235193227
36	0.06184988136
37	0.06137474079
38	0.06094387626
39	0.0605521225
40	0.06019684183
41	0.0598763279
42	0.05958452144
43	0.05931723842
44	0.05907787834
45	0.05885216949
46	0.05864417516
47	0.05845711701
48	0.05829242969
49	0.05814087975
50	0.0579990344
51	0.05787359924
52	0.05775813123
53	0.05765156757
54	0.05755523656
55	0.05746464517
56	0.05738667689
57	0.05731471024
58	0.05724825851
59	0.05718445674
60	0.05712916449
61	0.05707688693
62	0.05702947411
63	0.05698520039
64	0.05694715387
65	0.05690852956
66	0.05687312552
67	0.05684170148
68	0.05681244238
69	0.05678476401
70	0.05675968217
71	0.05673744217
72	0.05671763692
73	0.05669714525
74	0.05667835374
75	0.05666068076
76	0.05664436836
77	0.05662906355
78	0.0566153177
79	0.05660043104
80	0.05658704966
81	0.05657416229
82	0.0565629472
83	0.05655204699
84	0.05654245234
85	0.05653261774
86	0.05652344513
87	0.0565126378
88	0.05650627812
89	0.05649827548
90	0.05649011959
91	0.05648352159
92	0.05647634665
93	0.05646976472
94	0.05646126526
95	0.05645457429
96	0.05644889956
97	0.05644396516
98	0.05643958936
99	0.05643583285
100	0.05643152794
101	0.05642920083
102	0.05642604215
103	0.05642035513
104	0.05641757489
105	0.05641278198
106	0.05641000857
107	0.05640557164
108	0.05640031295
109	0.05639598599
110	0.05639123328
111	0.05638769852
112	0.05638496733
113	0.05638096026
114	0.05637889909
115	0.05637595578
116	0.05637197159
117	0.05636928188
118	0.05636476145
119	0.05635922099
120	0.05635580896
121	0.05635300272
122	0.05635100599
123	0.05635059832
124	0.05634829923
125	0.05634646239
126	0.05634473839
127	0.05634371668
128	0.05634336042
129	0.05634324355
130	0.05634150643
131	0.05633906363
132	0.05633759878
133	0.0563368531
134	0.05633397598
135	0.05633269821
136	0.05633255971
137	0.05633100649
138	0.05633000572
139	0.0563272625
140	0.05632687115
141	0.05632499516
142	0.05632388726
143	0.05632205286
144	0.05631925216
145	0.05631669035
146	0.05631523779
147	0.0563125239
148	0.05631239501
149	0.05630866715
150	0.0563067282
151	0.05630262918
152	0.05629926943
153	0.05629852666
154	0.05629834454
155	0.05629661292
156	0.05629320646
157	0.05629067587
158	0.05628958329
159	0.05628881193
160	0.05628755268
161	0.05628554674
162	0.0562832144
163	0.05628016798
164	0.05627903234
165	0.05627896921
166	0.05627712504
167	0.05627642999
